sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml","placet","211 placet tutissima <Ov. her.  3,121-122> T lettre de Briseis à Achille, forte lien contextuel aussi avec les vv. précédent (Briseis dit qu'Achille préféra la gloire, cf. v. 116 pugna nocet citharae voxque venusque iuvant) ","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml","stetit in ramis","216 stetit in ramis <Ov. am. 3,5,3> T ? (un oiseau)","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.333.xml","habitus dignare meos","260 habitus dignare meos <Ov. her. 18,199> T tactu meum dignabere corpus (sens différent)","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.333.xml","manu","261 manu Tirynthius <Ov. ars 1,187> T (Hercule qui enfant prned avec ses mains deux serpents)","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.333.xml","aurata","262 aurata palla <Ov. am. 3,13,25> T auratos palla pedes","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.333.xml","armavi ","270 armavi...cape <<Ov. her. 3,87> T même référent (Achille) ","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml","aequa viris","206 aequa viris <Ov. met. 6,11> T","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml","virgineos coetus ","208 virgineos coetus ludo <Ov. met. 3,401> T sens différent de ludo (histoire d'Echo et Narcisse) antonime 'coetus viriles'","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml","duros","209 duros nexus <Ov. met. 9,58> T cf. aussi laxantem/solvi","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.329.xml"," magno ","219 magno ferat ventos <Ov. met. 15,176> T","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.331.xml"," noceant contagia ","227 nocent contagia <Ov. met. 7,551> T","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.331.xml","contagia terrae","227 contagia terrae <Ov. met. 15,195> T","Lavinia Milic","19 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.331.xml","toto resolutum pectore","228 toto resolutum pectore <Ov. met. 9,484> T totis resoluta medullis","Lavinia Milic","19 May 2015"
