# Tesserae V3 results
#
# session   = 00000075
# source    = ovid.elegies
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.560"	"At procul **occultum** **falsi** sub imagine sexus"	"ov. am.1.8.49"	"Labitur **occulte** **fallitque** volubilis aetas, / Ut celer admissis labitur amnis aquis."	"fallo; occultus"	9.65
2	"stat. ach. 1.560"	"**At** procul occultum **falsi** sub imagine sexus"	"ov. her.5.133"	"**At** manet Oenone **fallenti** casta marito ---  / Et poteras **falli** legibus ipse tuis!"	"at; fallo"	9.11
3	"stat. ach. 1.561"	"Aeaciden furto **iam** **noverat** una latenti"	"ov. her.16.3"	"Eloquar, an flammae non est opus indice **notae**, / Et plus quam vellem **iam** meus extat amor?"	"iam; nosco"	9.07
4	"stat. ach. 1.561"	"Aeaciden furto iam **noverat** **una** latenti"	"ov. her.16.163"	"Da modo te, quae sit Paridis constantia, **nosces**; / Flamma rogi flammas finiet **una** meas."	"una-uno-unus; nosco"	9.11
5	"stat. ach. 1.563"	"cuncta pavet tacitasque **putat** **sentire** sorores,"	"ov. am.1.2.5"	"Nam, **puto**, **sentirem**, siquo temptarer amore. / An subit et tecta callidus arte nocet?"	"puto; sentio"	9.89
6	"stat. ach. 1.563"	"cuncta pavet tacitasque **putat** **sentire** sorores,"	"ov. her.11.85"	"Vagitus dedit ille miser --- **sensisse** **putares** ---  / Quaque suum poterat voce rogabat avum."	"puto; sentio"	9.62
7	"stat. ach. 1.567"	"turba **coit**, **blandeque** novas nil tale timenti"	"ov. her.17.181"	"Et longae noctes, et iam sermone **coimus**, / Et tu, me miseram! **blandus**, et una domus."	"blandus; coeo"	9.43
8	"stat. ach. 1.567"	"turba coit, blandeque novas **nil** **tale** **timenti**"	"ov. her.17.233"	"**Tale** **nihil** **timeo** --- sed nec Medea **timebat**! / Fallitur augurio spes bona saepe suo."	"nihil; timeo; talis-talus"	9.27
9	"stat. ach. 1.572"	"nunc thyrso parcente **ferit**, modo **dulcia** notae"	"ov. ars.3.583"	"**Dulcia** non **ferimus**: suco renovemur amaro; / Saepe perit ventis obruta cumba suis;"	"ferio; dulcia-dulcis"	9.65
10	"stat. ach. 1.573"	"fila lyrae **tenuesque** **modos** et carmina monstrat"	"ov. ars.1.761"	"Utque leves Proteus **modo** se **tenuabit** in undas, / Nunc leo, nunc arbor, nunc erit hirtus aper."	"tenuo; modus"	9.59
11	"stat. ach. 1.573"	"**fila** lyrae **tenuesque** modos et carmina monstrat"	"ov. ars.3.445"	"Nec toga decipiat **filo** **tenuissima**, nec si / Anulus in digitis alter et alter erit."	"tenuis; filum"	9.51
12	"stat. ach. 1.573"	"**fila** lyrae tenuesque modos et carmina **monstrat**"	"ov. her.10.103"	"Nec tibi, quae reditus **monstrarent**, **fila** dedissem, / **Fila** per adductas saepe recepta manus."	"monstro; filum"	9.07
13	"stat. ach. 1.573"	"fila lyrae **tenuesque** **modos** et carmina monstrat"	"ov. her.20.73"	"Idem, qui facimus, factam **tenuabimus** iram, / Copia placandi sit **modo** parva tui."	"tenuo; modus"	9.12
14	"stat. ach. 1.574"	"Chironis **ducitque** **manum** digitosque sonanti"	"ov. am.1.2.31"	"Mens Bona **ducetur** **manibus** post terga retortis, / Et Pudor, et castris quidquid Amoris obest."	"duco; manus"	9.91
15	"stat. ach. 1.575"	"infringit citharae, nunc occupat **ora** **canentis**"	"ov. am.3.12.25"	"Idem per spatium Tityon porreximus ingens, / Et tria vipereo fecimus **ora** **cani**;"	"aurum-ora-oro-os; cano"	9.21
16	"stat. ach. 1.576"	"et ligat amplexus et mille **per** oscula **laudat**."	"ov. ars.2.283"	"Utraque **laudetur** **per** carmina: carmina lector / Commendet dulci qualiacumque sono;"	"per; laudo"	9.54
17	"stat. ach. 1.576"	"et ligat **amplexus** et mille per oscula **laudat**."	"ov. her.4.139"	"Viderit **amplexos** aliquis, **laudabimur** ambo; / Dicar privigno fida noverca meo."	"amplector; laudo"	9.61
18	"stat. ach. 1.577"	"illa libens **discit**, **quo** vertice Pelion, et quis"	"ov. ars.3.27"	"Nil nisi lascivi per me **discuntur** amores; / Femina praecipiam **quo** sit amanda modo."	"quo; disco"	9.21
19	"stat. ach. 1.577"	"**illa** **libens** discit, quo vertice Pelion, et quis"	"ov. ars.3.633"	"Quid faciat custos, cum sint tot in urbe theatra, / Cum spectet iunctos **illa** **libenter** equos,"	"illa; libet"	9.70
20	"stat. ach. 1.578"	"Aeacides, puerique auditum **nomen** et **actus**"	"ov. ars.3.643"	"**Nomine** cum doceat, quid **agamus**, adultera clavis, / Quasque petas non det ianua sola vias? "	"nomen; ago"	9.08
21	"stat. ach. 1.578"	"Aeacides, puerique **auditum** **nomen** et actus"	"ov. her.7.89"	"Fluctibus eiectum tuta statione recepi / Vixque bene **audito** **nomine** regna dedi."	"audio; nomen"	9.82
22	"stat. ach. 1.578"	"**Aeacides**, puerique auditum nomen et **actus**"	"ov. her.8.33"	"At pater **Aeacidae** promiserat inscius **acti**; / Plus patre, quo prior est ordine, pollet avus."	"ago; aeacides"	9.19
23	"stat. ach. 1.579"	"adsidue stupet et praesentem **cantat** **Achillem**."	"ov. am.2.1.29"	"Quid mihi profuerit velox **cantatus** **Achilles**? / Quid pro me Atrides alter et alter agent,"	"achilles; canto"	9.33
24	"stat. ach. 1.581"	"et tenuare **rudes** attrito pollice **lanas**"	"ov. ars.2.219"	"Inter Ioniacas calathum tenuisse puellas / Creditur, et **lanas** excoluisse **rudes**."	"lana; rudis-rudo"	9.06
