# Tesserae V3 results
#
# session   = 00000004
# source    = ovid.elegies
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.3"	"diva, refer, quamquam acta **viri** **multum** inclita cantu"	"ov. am.1.8.39"	"Forsitan inmundae Tatio regnante Sabinae / Noluerint habiles **pluribus** esse **viris**;"	"uir-uirus; multus"	9.59
2	"stat. ach. 1.3"	"diva, refer, **quamquam** **acta** viri multum inclita cantu"	"ov. ars.1.501"	"Et plaudas, aliquam mimo saltante puellam: / Et faveas illi, **quisquis** **agatur** amans."	"quisquis; ago"	9.81
3	"stat. ach. 1.3"	"diva, refer, quamquam **acta** viri multum inclita **cantu**"	"ov. her.5.19"	"Retia saepe comes maculis distincta tetendi; / Saepe citos **egi** per iuga longa **canes**."	"ago; cano"	9.00
4	"stat. ach. 1.3"	"diva, refer, quamquam **acta** viri **multum** inclita cantu"	"ov. her.8.33"	"At pater Aeacidae promiserat inscius **acti**; / **Plus** patre, quo prior est ordine, pollet avus."	"actum-ago; multus"	9.57
5	"stat. ach. 1.3"	"diva, refer, quamquam acta viri **multum** inclita **cantu**"	"ov. her.19.137"	"Has certe **pluresque** **canunt**, Neptune, poetae / Molle latus lateri conposuisse tuo."	"cano; multus"	9.80
6	"stat. ach. 1.4"	"Maeonio, **sed** plura **vacant**: nos ire per omnem —"	"ov. am.2.2.1"	"Quem penes est dominam servandi cura, Bagoa, / Dum perago tecum pauca, **sed** apta, **vaca**."	"sed; uaco"	9.30
7	"stat. ach. 1.4"	"Maeonio, sed **plura** **vacant**: nos ire per omnem —"	"ov. am.2.6.29"	"Plenus eras minimo, nec prae sermonis amore / In **multos** poteras ora **vacare** cibos."	"uaco; multus"	9.46
8	"stat. ach. 1.4"	"Maeonio, **sed** **plura** vacant: nos **ire** per omnem —"	"ov. ars.2.343"	"Nascitur exiguus, **sed** opes adquirit **eundo**, / Quaque venit, **multas** accipit amnis aquas."	"sed; eo; multus"	9.17
9	"stat. ach. 1.4"	"Maeonio, sed **plura** vacant: nos ire **per** omnem —"	"ov. her.4.93"	"Clarus erat silvis Cephalus, **multaeque** **per** herbas / Conciderant illo percutiente ferae;"	"multus; per"	9.20
10	"stat. ach. 1.5"	"**sic** amor est — heroa **velis** Scyroque **latentem**"	"ov. ars.2.611"	"At **sic** inter nos medio versantur in usu, / Se tamen inter nos ut **latuisse** **velint**. "	"sic; lateo; uolo"	10.17
11	"stat. ach. 1.5"	"sic **amor** est — heroa velis Scyroque **latentem**"	"ov. ars.3.351"	"Artifices **lateris**, scenae spectacula, **amantur**: / Tantum mobilitas illa decoris habet."	"amo; lateo"	9.18
12	"stat. ach. 1.5"	"sic **amor** est — heroa **velis** Scyroque **latentem**"	"ov. her.18.13"	"Non poteram celare meos, velut ante, parentes, / Quemque tegi **volumus**, non **latuisset** **amor**."	"lateo; amo-amor; uolo"	9.73
13	"stat. ach. 1.5"	"**sic** **amor** est — heroa velis Scyroque latentem"	"ov. her.19.93"	"Dummodo sis idem, dum **sic**, ut scribis, **amemur**, / Flammaque non fiat frigidus illa cinis. "	"sic; amo"	9.27
14	"stat. ach. 1.9"	"**da** fontes mihi, **Phoebe**, novos ac fronde secunda"	"ov. ars.1.25"	"Non ego, **Phoebe**, **datas** a te mihi mentiar artes, / Nec nos ariae voce monemur avis,"	"do; phoebe-phoebus"	9.46
15	"stat. ach. 1.10"	"**necte** **comas**: neque enim Aonium nemus advena pulso"	"ov. am.1.2.23"	"**Necte** **comam** myrto, maternas iunge columbas; / Qui deceat, currum vitricus ipse dabit,"	"necto-nectus; come-como"	9.95
