# Tesserae V3 results
#
# session   = 00000005
# source    = ovid.metamorphoses
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum in hic ille ego neque tu
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.2"	"progeniem et **patrio** **vetitam** succedere caelo,"	"ov. met. 3.546"	"et **patrium** retinete decus. Si fata **vetabant**"	"ueto; patrium-patrius"	9.48
2	"stat. ach. 1.2"	"progeniem et **patrio** vetitam **succedere** caelo,"	"ov. met. 6.484"	"illa **patri** grates et **successisse** duabus"	"succedo; patrium-patrius"	9.61
3	"stat. ach. 1.3"	"diva, **refer**, quamquam **acta** viri multum inclita cantu"	"ov. met. 2.562"	"**Acta** deae **refero**. Pro quo mihi gratia talis"	"refero; acte-actum-ago"	9.18
4	"stat. ach. 1.3"	"diva, refer, quamquam **acta** **viri** multum inclita cantu"	"ov. met. 13.198"	"(plenaque adhuc erat illa **viris**), interritus **egi**,"	"uir-uirus; ago"	9.39
5	"stat. ach. 1.3"	"diva, refer, quamquam **acta** viri **multum** inclita cantu"	"ov. met. 15.757"	"et **multos** meruisse, aliquos **egisse** triumphos,"	"ago; multus"	9.16
6	"stat. ach. 1.4"	"Maeonio, **sed** plura vacant: nos **ire** per omnem —"	"ov. met. 1.138"	"poscebatur humus, **sed** **itum** est in viscera terrae:"	"eo; sed"	9.34
7	"stat. ach. 1.4"	"Maeonio, sed **plura** vacant: nos ire **per** **omnem** —"	"ov. met. 14.214"	"**perque** dies **multos** latitans **omnemque** tremescens"	"per; omnis; multus"	9.02
8	"stat. ach. 1.5"	"**sic** **amor** est — heroa velis Scyroque latentem"	"ov. met. 3.403"	"“**sic** **amet** ipse licet **sic** non potiatur **amato**!”"	"amo; sic"	9.78
9	"stat. ach. 1.5"	"sic **amor** est — heroa **velis** Scyroque latentem"	"ov. met. 3.466"	"Votum in **amante** novum: **vellem** quod **amamus** abesset! —"	"uolo; amo"	9.83
10	"stat. ach. 1.5"	"**sic** amor est — heroa **velis** Scyroque latentem"	"ov. met. 12.360"	"Pallados admonitu: credi **sic** ipse **volebat**."	"sic; uolo"	9.24
11	"stat. ach. 1.5"	"sic amor est — heroa **velis** Scyroque **latentem**"	"ov. met. 13.553"	"**velle** **latens** illi, quod nato redderet, aurum."	"lateo; uolo"	9.03
12	"stat. ach. 1.5"	"**sic** amor est — heroa **velis** Scyroque latentem"	"ov. met. 13.597"	"occidit a forti, **sic** vos **voluistis**, Achille."	"uolo; sic"	9.24
13	"stat. ach. 1.6"	"Dulichia proferre tuba nec in **Hectore** **tracto**"	"ov. met. 12.591"	"**Hectoris** umbra subit circum sua Pergama **tracti**?"	"hector; tractum-traho"	9.37
14	"stat. ach. 1.6"	"**Dulichia** proferre tuba nec in Hectore **tracto**"	"ov. met. 13.425"	"**Dulichiae** **traxere** manus, tamen unius hausit"	"traho; dulichia-dulichius"	9.39
15	"stat. ach. 1.7"	"sistere, sed tota **iuvenem** **deducere** Troia."	"ov. met. 2.106"	"**deducit** **iuvenem**, Vulcania munera, currus."	"iuuenis; deduco"	9.02
16	"stat. ach. 1.8"	"tu modo, **si** veterem **digno** deplevimus haustu,"	"ov. met. 3.309"	"eripitur, patrioque tener (**si** credere **dignum** est)"	"si; dignus"	9.57
17	"stat. ach. 1.8"	"tu modo, si **veterem** digno deplevimus **haustu**,"	"ov. met. 7.333"	"Stringite” ait “gladios **veteremque** **haurite** cruorem,"	"haurio; uetero-uetus"	9.99
18	"stat. ach. 1.8"	"tu modo, si veterem **digno** deplevimus **haustu**,"	"ov. met. 8.326"	"**hausit** et “o felix, siquem **dignabitur**” inquit"	"haurio; digno"	9.35
19	"stat. ach. 1.11"	"nec **mea** **nunc** primis augescunt tempora vittis."	"ov. met. 13.503"	"**Nunc** quoque **mi** metuendus erat: cinis ipse sepulti"	"nunc; meus"	9.02
20	"stat. ach. 1.12"	"scit Dircaeus **ager** meque inter **prisca** parentum"	"ov. met. 7.653"	"partior et vacuos **priscis** cultoribus **agros**,"	"priscus; ager"	9.52
21	"stat. ach. 1.13"	"nomina cumque **suo** **numerant** Amphione Thebae."	"ov. met. 5.298"	"Ales erat, **numeroque** novem, **sua** fata querentes,"	"suus; numero"	9.79
22	"stat. ach. 1.16"	"certatim **laurus** — olim dolet altera **vinci** — ,"	"ov. met. 11.165"	"Ille caput flavum **lauro** Parnaside **vinctus**"	"uincio; laurus"	9.71
23	"stat. ach. 1.17"	"**da** **veniam** ac trepidum patere hoc sudare parumper"	"ov. met. 1.220"	"Signa **dedi** **venisse** deum, vulgusque precari"	"do; uenio"	9.46
24	"stat. ach. 1.17"	"**da** **veniam** ac trepidum patere hoc sudare parumper"	"ov. met. 1.386"	"**detque** sibi **veniam** pavido rogat ore, pavetque"	"do; uenia-uenio"	9.85
25	"stat. ach. 1.17"	"**da** veniam ac trepidum **patere** **hoc** sudare parumper"	"ov. met. 4.75"	"aut **hoc** si nimium est, vel ad oscula **danda** **pateres**?"	"do; huc; pateo"	9.65
26	"stat. ach. 1.17"	"**da** **veniam** ac trepidum patere hoc sudare parumper"	"ov. met. 6.33"	"supplice voce roga: **veniam** **dabit** illa roganti.”"	"uenia-uenio; do"	9.11
27	"stat. ach. 1.17"	"da veniam ac **trepidum** **patere** hoc sudare parumper"	"ov. met. 6.389"	"detectique **patent** nervi, **trepidaeque** sine ulla"	"trepidus; pateo"	9.98
28	"stat. ach. 1.17"	"da veniam **ac** **trepidum** patere hoc sudare parumper"	"ov. met. 6.522"	"**atque** ibi pallentem **trepidamque** et cuncta timentem"	"atque; trepidus"	9.58
29	"stat. ach. 1.17"	"da **veniam** **ac** trepidum **patere** hoc sudare parumper"	"ov. met. 14.400"	"**passaque** erat nebulas **ventis** **ac** sole recludi)"	"atque; patior; uenio"	9.42
30	"stat. ach. 1.17"	"**da** veniam ac trepidum **patere** hoc sudare parumper"	"ov. met. 15.575"	"vinaque **dat** **pateris** mactatarumque bidentum,"	"pateo-patior; do"	9.46
31	"stat. ach. 1.19"	"molimur **magnusque** tibi praeludit **Achilles**."	"ov. met. 8.309"	"Nec Telamon aberat **magnique** creator **Achillis**"	"magnus; achilles"	9.15
32	"stat. ach. 1.20"	"**Solverat** Oebalio **classem** de litore pastor"	"ov. met. 8.102"	"hostibus imposuit, **classis** retinacula **solvi**"	"classis; soluo"	9.13
33	"stat. ach. 1.20"	"Solverat Oebalio **classem** de **litore** pastor"	"ov. met. 13.4"	"**litora** respexit **classemque** in **litore** vultu"	"litus; classis"	9.59
34	"stat. ach. 1.20"	"Solverat **Oebalio** classem **de** litore pastor"	"ov. met. 13.396"	"qui prius **Oebalio** fuerat **de** vulnere natus;"	"oebalius; de"	9.58
35	"stat. ach. 1.25"	"**cum** Thetis **Idaeos** — heu numquam vana parentum"	"ov. met. 14.535"	"**cum** memor has pinus **Idaeo** vertice caesas"	"cum; idaeus"	9.28
36	"stat. ach. 1.26"	"auguria! — expavit **vitreo** **sub** gurgite remos."	"ov. met. 5.48"	"edita Limnaee **vitreis** peperisse **sub** undis"	"sub; uitreus"	9.76
37	"stat. ach. 1.27"	"nec mora, et undosis **turba** comitante **sororum**"	"ov. met. 6.537"	"Omnia **turbasti**: paelex ego facta **sororis**,"	"soror; turbo"	9.31
38	"stat. ach. 1.27"	"nec mora, et undosis **turba** **comitante** sororum"	"ov. met. 6.594"	"Concita per silvas **turba** **comitante** suarum"	"comitor; turba-turbo"	9.11
39	"stat. ach. 1.28"	"prosiluit **thalamis**: fervent **coeuntia** Phrixi"	"ov. met. 7.709"	"Sacra tori **coitusque** novos **thalamosque** recentes"	"coeo; thalamus"	9.97
40	"stat. ach. 1.29"	"litora et **angustum** dominas non explicat **aequor**."	"ov. met. 5.410"	"quod coit **angustis** inclusum cornibus **aequor**."	"aequo-aequor; angustum-angustus"	9.21
