# Tesserae V3 results
#
# session   = 00000006
# source    = statius.thebaid
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis in hic iam ille neque tu ego
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
1	"stat. ach. 1.2"	"progeniem et patrio **vetitam** succedere **caelo**,"	"stat. theb. 3.550"	"concilia et **caelo** mentem insertasse **vetanti**,"	"ueto; caelo-caelum-caelus"	9.26
2	"stat. ach. 1.2"	"progeniem et **patrio** vetitam succedere **caelo**,"	"stat. theb. 8.514"	"tu **patriam** **caelumque** mihi, quis tanta relatu"	"caelum-caelus; patrius"	9.45
3	"stat. ach. 1.3"	"**diva**, refer, quamquam **acta** viri multum inclita cantu"	"stat. theb. 1.471"	"non haec incassum **divisque** absentibus **acta**;"	"acte-actum-ago; diua-diuus"	9.37
4	"stat. ach. 1.4"	"Maeonio, sed plura vacant: nos **ire** per **omnem** —"	"stat. theb. 10.244"	"ecce dies; tunc arma palam, tunc **ibimus** **omnes**.”"	"omnis; eo"	9.02
5	"stat. ach. 1.5"	"**sic** amor est — heroa **velis** Scyroque latentem"	"stat. theb. 6.320"	"ille ibit, minus ipse **voles**.” **sic** ignea lora"	"uolo; sic"	9.16
6	"stat. ach. 1.5"	"sic **amor** **est** — heroa velis Scyroque latentem"	"stat. theb. 8.557"	"aversatus **erat**; sponsam quin castus **amanti**"	"sum; amo"	9.14
7	"stat. ach. 1.5"	"sic amor est — heroa **velis** Scyroque **latentem**"	"stat. theb. 8.719"	"et **vellet** **latuisse** manum, sed gaudia turmae"	"uolo; lateo"	9.91
8	"stat. ach. 1.9"	"**da** fontes mihi, Phoebe, **novos** ac fronde secunda"	"stat. theb. 3.444"	"incertusque animi, **daret** armis iura **novosque**"	"nouus; do"	9.19
9	"stat. ach. 1.9"	"da fontes mihi, Phoebe, novos **ac** **fronde** secunda"	"stat. theb. 4.460"	"erigitur Cereri; **frontes** **atque** omne cupressus"	"atque; frons"	9.07
10	"stat. ach. 1.10"	"**necte** comas: neque enim **Aonium** nemus advena pulso"	"stat. theb. 6.505"	"**Aonius** **nexusque** diu per terga volutus"	"aonius; necto"	9.54
